,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
assetTurnover,0.039513730244983156,0.035174760034020494,0.03294487397606216,0.04216949579038971,0.044053980318182945,0.04068237939734989,0.04447789749571924,0.0376174513687846,0.03744585430167946,0.03879404771446127,0.03937157023872531,0.04358893951412075,0.054590530577248955,0.03406777744270205,0.05515931826602445,0.05567754077791719,0.04510012576182645,0.06725512863216881,0.06702704990003068,0.06077037133240257,0.0619875199834975,0.06443690219068189,0.06456674533807091,0.0694793728931457,0.061949829141930306,0.06657660812861693,0.07336142741863176,0.0656180193596426,0.061498803167004235,0.061827602863039566,0.05761568359040798,0.056663115710444883,0.04967184329553491,0.044461273947928606,0,0,0,0,0.0427525235864617,0.046338985699773384
operatingCashFlowPerShare,,3.3317736492395884,5.655342884628984,0.1021686357187936,5.797263993054112,4.487175148726506,5.8577154722091445,3.7357916357010246,3.9685033237542893,-0.5579265987595258,1.4000975707283503,1.8111015363645597,3.3398480987605454,3.2072080325250423,2.551129842353483,4.300264623336897,4.342592592592593,-1.45359477124183,4.335492227979275,5.069148936170213,4.378640776699029,8.16142270861833,-2.9549795361527966,-1.3102529960053262,2.085219707057257,1.0868421052631578,1.1151683170801117,2.311569768165026,3.261234026473077,2.847518796564283,1.5769732945172574,1.7251184831397917,2.0407071034706457,1.8754786732649935,-0.29676344221899287,1.9757059972779725,1.1234295278640056,,,
freeCashFlowPerShare,,1.905380067905515,4.28360231197781,-1.185581876986834,4.725988391936041,3.3298494316341496,5.084001853161347,3.191761886959489,3.268439512628142,-1.0871747274893564,0.8397147492950265,1.2852185936481204,3.150177712905008,2.9374666534340705,2.285861365265938,3.9612261278445926,4.050264550264551,-1.6248366013071895,3.9961139896373057,4.897606382978723,4.090152565880722,7.935704514363885,-3.0995907230559343,-2.0918774966711053,1.9680426098535286,1.0276315789473685,1.057698020037606,2.243247509007439,3.20401939442969,2.783909774017457,1.517151336031882,1.6655608212218704,1.9425883879338306,1.7819532814893366,-0.3921305364250964,1.9018375252815305,0.9340067094661605,,,
cashPerShare,133.66305745613957,195.82916388608456,252.11963104444237,183.52679744961543,142.00782959369843,157.1526500051727,116.42467405555358,190.77521070969178,196.01521200605012,195.90697399558005,198.85511022046379,171.3673939469399,111.39094365140232,101.35405082843685,119.28589375778624,95.29473060521079,47.23941798941799,15.894117647058824,15.645077720207254,16.12898936170213,13.664355062413314,13.462380300957593,11.544338335607094,13.48335552596538,11.322237017310252,10.388157894736842,9.07174752677341,7.202937433039678,5.182581204860316,6.4691729313580195,8.835370924076141,4.631121642238369,6.021083360363282,0,0,0,0,0,0,0
payoutRatio,,0.35195530726256985,0.35830799004700026,0.2902499437063724,0.28621659634317864,0.263080684596577,0.2537355511700028,0.27390753641545285,0.32450331125827814,0.35243960208432024,0.2621676891615542,0.23569157392686804,0.17474185861795075,-0.6199261992619927,0.795630725863284,0.4335458558116724,0.21786781800066424,0.4099299809038829,0.4222222222222222,0.48660328435609335,0.6086474501108647,0.39166046165301566,0.33869839048285516,0.25014376078205863,0.33808724832214765,0.34692028985507245,0.33137254901960783,0.2975929978118162,0.2923898531375167,0.32021466905187834,0.3956639566395664,1.221311475409836,0.5815763866363931,3.252465483234714,0,0,0,,,
operatingCashFlowSalesRatio,,0.18153905200537324,0.32562047569803515,0.005967180507210343,0.3750781934192418,0.30686326368685535,0.4211165048543689,0.27860662931209074,0.3107845855281397,-0.04421183114110598,0.11525399745295033,0.15594583157003808,0.30004445102978217,0.5229598893499309,0.22242576902526526,0.3607451158564289,0.7042042042042042,-0.1619810633648944,0.5282512626262627,0.6788958147818344,0.6566139767054908,1.142692970695269,-0.4350271138782888,-0.18944936465152099,0.3980681240467717,0.20691382765531063,0.22292837936934734,0.5182978723404256,0.8153692614770459,0.7471590909090909,0.40263046245226985,0.37600716204118173,0.5581034329814601,0.4689715495810699,0,0,0,0,,
freeCashFlowOperatingCashFlowRatio,0,0.5718816067653277,0.7574434299325129,-11.604166666666666,0.8152101400933957,0.7420814479638009,0.8679154658981748,0.854373637024473,0.8235950044603033,1.9485981308411215,0.5997544505831799,0.7096336499321574,0.9432098765432099,0.9158952658026976,0.8960192175703501,0.9211586901763225,0.9326835211696619,1.1178057553956835,0.9217209441290708,0.9661594963273872,0.9341146658219829,0.9723432785786121,1.048938134810711,1.5965447154471544,0.9438058748403576,0.9455205811138014,0.9484649122807017,0.9704433497536946,0.9824561403508771,0.9776615969581749,0.9620653319283456,0.9654761904761905,0.9519192561392354,0.9501325218415628,1.3213572854291418,0.9626116071428571,0.8313887843432443,0,0,0
cashFlowCoverageRatios,,0.10637181409295353,0.19131161236424393,0.0029944789294737827,0.17466282152116286,0.13617158617452027,0.2404990181356128,0.18266719780462976,0.21301662707838478,-0.031130291422198517,0.08045239035954169,0.09996835013790296,0.20892442610265669,0.21333859955989393,0.17388709869912877,0.17418392418392417,0.26969522714203564,-0.1281548922438631,0.5030057108506162,0.5480948957584472,0.5205276174773289,0.8129172911840851,-0.458606817700614,-0.14828209764918626,0.23648444578677136,0.12742980561555076,0.15302013422818792,0.32895210658984514,0.37638206388206386,0.4813543811484786,0.20063424947145878,0.3559322033898305,0.46671117540150586,1.0711882229232388,0,0.740495867768595,0.5292828685258965,,,
shortTermCoverageRatios,0,0,0,0.024248547613033595,3.0923156266116556,1.5092682926829268,8.283819628647215,7.891013384321224,0,-6.6875,4.819526627218935,221.1,405,315.0833333333333,21.115942028985508,0.9732777641578818,1.8495774647887324,-1.2930232558139534,4.018007202881153,4.570743405275779,5.0512,2.5247566652560303,-1.2839359810314168,-0.2572549019607843,0.34523809523809523,0.1767601112775519,0.22007722007722008,0.492984349703184,0.5173068805403124,0.7565623876303488,0.3133047210300429,0.7446808510638298,0.6871075192486212,0,0,0,0,0,0,0
capitalExpenditureCoverageRatio,0,-2.3358024691358024,-4.122749590834697,-0.07933884297520662,-5.411552346570397,-3.8771929824561404,-7.570909090909091,-6.8668885191347755,-5.668773704171934,1.0541871921182266,-2.4984662576687118,-3.44392523364486,-17.608695652173914,-11.88993710691824,-9.617161716171617,-12.68370607028754,-14.855203619909503,8.488549618320612,-12.774809160305344,-29.550387596899224,-15.177884615384615,-36.157575757575756,20.433962264150942,1.676320272572402,-17.795454545454547,-18.355555555555554,-19.404255319148938,-33.833333333333336,-57,-44.765957446808514,-26.36111111111111,-28.96551724137931,-20.798347107438016,-20.05314960629921,3.111801242236025,-26.746268656716417,-5.930803571428571,0,0,0
