Symbol,Company,Weight
HPE,Hewlett Packard Enterprise Co.,0.061073
HOLX,Hologic Inc.,0.060669
DOV,Dover Corporation,0.060453
STE,STERIS Plc,0.059994
NDAQ,Nasdaq Inc.,0.05997
VTR,Ventas Inc.,0.059804
VRSN,VeriSign Inc.,0.059623
CTRA,Coterra Energy Inc.,0.058866
CAH,Cardinal Health Inc.,0.058823
NTRS,Northern Trust Corporation,0.058682
WAT,Waters Corporation,0.058289
STLD,Steel Dynamics Inc.,0.057925
WST,West Pharmaceutical Services Inc.,0.057545
ALGN,Align Technology Inc.,0.05728
EPAM,EPAM Systems Inc.,0.057271
TDY,Teledyne Technologies Incorporated,0.057192
LVS,Las Vegas Sands Corp.,0.056609
CHD,Church Dwight Co. Inc.,0.056332
TSN,Tyson Foods Inc. Class A,0.056113
MPWR,Monolithic Power Systems Inc.,0.055204
INVH,Invitation Homes Inc.,0.055179
MAA,Mid-America Apartment Communities Inc.,0.055045
WAB,Westinghouse Air Brake Technologies Corporation,0.054848
MKC,McCormick Company Incorporated,0.054736
CNP,CenterPoint Energy Inc.,0.054289
XYL,Xylem Inc.,0.053472
DRI,Darden Restaurants Inc.,0.053187
BALL,Ball Corporation,0.052959
MRO,Marathon Oil Corporation,0.052752
CMS,CMS Energy Corporation,0.052608
AMCR,Amcor PLC,0.052551
IEX,IDEX Corporation,0.052551
TTWO,Take-Two Interactive Software Inc.,0.052473
FSLR,First Solar Inc.,0.052172
SWKS,Skyworks Solutions Inc.,0.052095
AES,AES Corporation,0.052069
BR,Broadridge Financial Solutions Inc.,0.051598
EXPD,Expeditors International of Washington Inc.,0.051527
SIVB,SVB Financial Group,0.051362
KEY,KeyCorp,0.051284
MOH,Molina Healthcare Inc.,0.051089
OMC,Omnicom Group Inc,0.051029
PKI,PerkinElmer Inc.,0.050774
K,Kellogg Company,0.05077
EXPE,Expedia Group Inc.,0.050757
CAG,Conagra Brands Inc.,0.050727
ETSY,Etsy Inc.,0.050693
BBY,Best Buy Co. Inc.,0.050259
CLX,Clorox Company,0.049992
MOS,Mosaic Company,0.049991
TRGP,Targa Resources Corp.,0.04977
DGX,Quest Diagnostics Incorporated,0.049609
SEDG,SolarEdge Technologies Inc.,0.049479
COO,Cooper Companies Inc.,0.049128
CINF,Cincinnati Financial Corporation,0.049075
SYF,Synchrony Financial,0.048992
FMC,FMC Corporation,0.048703
CF,CF Industries Holdings Inc.,0.048408
ZBRA,Zebra Technologies Corporation Class A,0.048008
TER,Teradyne Inc.,0.04743
SJM,J.M. Smucker Company,0.047062
ATO,Atmos Energy Corporation,0.047002
UAL,United Airlines Holdings Inc.,0.046743
INCY,Incyte Corporation,0.04669
FDS,FactSet Research Systems Inc.,0.046663
JBHT,J.B. Hunt Transport Services Inc.,0.046658
IRM,Iron Mountain Inc.,0.046349
NVR,NVR Inc.,0.046258
J,Jacobs Solutions Inc.,0.045976
PAYC,Paycom Software Inc.,0.045959
AVY,Avery Dennison Corporation,0.044993
FLT,FLEETCOR Technologies Inc.,0.0448
TXT,Textron Inc.,0.044696
GRMN,Garmin Ltd.,0.044515
MTCH,Match Group Inc.,0.044083
